Date/Time,3F-B-BED2:Zone Air Temperature [C](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),3F-B-BED2 IDEAL LOADS AIR SYSTEM:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),3F-B-BED2 BEDROOM-B:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,18.000000000000033,908521.1301699928,0.0,-0.995655487830418 
 01/01  02:00:00,18.000000000000026,936405.4556326689,0.0,-0.9838976519199294 
 01/01  03:00:00,18.00000000000002,945131.4825628342,0.0,-0.9785146383903158 
 01/01  04:00:00,18.00000000000002,972498.1436051588,0.0,-0.9766894317075984 
 01/01  05:00:00,18.00000000000001,1025515.528911602,0.0,-0.9771177450792123 
 01/01  06:00:00,18.00000000000001,1084207.8644591463,0.0,-0.9787418489416521 
 01/01  07:00:00,17.99999999999997,1137411.243049845,0.0,-0.9814088345927519 
 01/01  08:00:00,18.000000000000047,1175384.596606128,0.0,-0.9837182008961057 
 01/01  09:00:00,15.580525281943471,0.0,0.0,-1.2675275693876045 
 01/01  10:00:00,14.943056681566399,0.0,0.0,-1.4996647585786117 
 01/01  11:00:00,14.95789510913614,0.0,0.0,-1.5310811650321572 
 01/01  12:00:00,14.998104325422672,0.0,0.0,-1.5369723820276227 
 01/01  13:00:00,16.60625791819867,985715.2805186096,0.0,-1.3698730231909842 
 01/01  14:00:00,18.00000000009359,1001778.0774077304,0.0,-1.0352288436250617 
 01/01  15:00:00,16.000446684287746,0.0,0.0,-1.232696211643994 
 01/01  16:00:00,15.524917912996477,0.0,0.0,-1.3938878186967845 
 01/01  17:00:00,15.66165844533118,0.0,0.0,-1.3890750002812587 
 01/01  18:00:00,15.784968029910625,0.0,0.0,-1.3639386181484306 
 01/01  19:00:00,15.839105760188252,0.0,0.0,-1.3447142570029385 
 01/01  20:00:00,15.809109385655468,0.0,0.0,-1.3392582149219424 
 01/01  21:00:00,15.677989437617024,0.0,0.0,-1.360974515546485 
 01/01  22:00:00,15.511890025733843,0.0,0.0,-1.4014745959852278 
 01/01  23:00:00,18.091506610434725,1131829.9874729606,0.0,-1.0855616053666409 
 01/01  24:00:00,18.000000000000026,809771.454205073,0.0,-1.003946831120243 
 01/02  01:00:00,18.0,908593.287586782,0.0,-0.9971490779122946 
 01/02  02:00:00,17.999999999999994,950053.7986305767,0.0,-0.993496009090495 
 01/02  03:00:00,18.000000000000015,973905.5408485869,0.0,-0.9922830271822747 
 01/02  04:00:00,18.000000000000008,992279.8830665248,0.0,-0.9911734461562073 
 01/02  05:00:00,17.999999999999994,1011826.0302658249,0.0,-0.9902883214916756 
 01/02  06:00:00,18.000000000000005,1034328.4241131963,0.0,-0.9896492754345534 
 01/02  07:00:00,18.000000000000033,1051200.3384197653,0.0,-0.9890837871769929 
 01/02  08:00:00,18.0,1059189.3512039153,0.0,-0.9892247439361905 
 01/02  09:00:00,15.782938179506664,0.0,0.0,-1.2480711377501695 
 01/02  10:00:00,15.170722731552138,0.0,0.0,-1.454513845450886 
 01/02  11:00:00,15.204160616571633,0.0,0.0,-1.48127192466996 
 01/02  12:00:00,15.243580517493902,0.0,0.0,-1.486114911238153 
 01/02  13:00:00,16.72565918769578,849274.5466815773,0.0,-1.3343528897681898 
 01/02  14:00:00,18.000000000139037,863461.6444024362,0.0,-1.0345611160459863 
 01/02  15:00:00,16.067307850560199,0.0,0.0,-1.2304637791688194 
 01/02  16:00:00,15.598372968645747,0.0,0.0,-1.3896860688309969 
 01/02  17:00:00,15.59042521542372,0.0,0.0,-1.4038004631921819 
 01/02  18:00:00,15.51877873062316,0.0,0.0,-1.419631472265458 
 01/02  19:00:00,15.4031827307589,0.0,0.0,-1.4447448368326104 
 01/02  20:00:00,15.301328470109146,0.0,0.0,-1.4675469858931063 
 01/02  21:00:00,15.228758486250074,0.0,0.0,-1.4856208848555286 
 01/02  22:00:00,15.197003920806902,0.0,0.0,-1.4941209484506438 
 01/02  23:00:00,18.091201736808839,1342035.8291585716,0.0,-1.112920992232537 
 01/02  24:00:00,17.999999999999984,933591.3667228934,0.0,-1.0049672547908484 
 01/03  01:00:00,17.999999999999984,1029910.2453738179,0.0,-0.9931937033906269 
 01/03  02:00:00,18.00000000000002,1094848.7630678795,0.0,-0.9887567881171947 
 01/03  03:00:00,18.000000000000019,1161805.2172992409,0.0,-0.9900667362112117 
 01/03  04:00:00,18.000000000000005,1206003.3093154275,0.0,-0.991654927859379 
 01/03  05:00:00,18.000000000000044,1225502.9718882796,0.0,-0.9928356052383492 
 01/03  06:00:00,18.000000000000019,1230212.1083640352,0.0,-0.9940394941281521 
 01/03  07:00:00,18.000000000000055,1213634.479573211,0.0,-0.9947186141159136 
 01/03  08:00:00,18.000000000000019,1189459.970593488,0.0,-0.9948289678791462 
 01/03  09:00:00,15.607266684569004,0.0,0.0,-1.2751625910469887 
 01/03  10:00:00,14.944778771193717,0.0,0.0,-1.5103499512073536 
