Date/Time,BEDROOM2.2:Zone Ideal Loads Zone Total Heating Energy [J](Hourly),BEDROOM2.2:Zone Ideal Loads Zone Total Cooling Energy [J](Hourly),BEDROOM2.2:Zone Thermal Comfort Fanger Model PMV [](Hourly) 
 01/01  01:00:00,2454334.8420038765,6.643688266194659e-8,-1.090497765730639 
 01/01  02:00:00,2461451.739051445,5.181756404721227,-1.0826552527011276 
 01/01  03:00:00,2394302.47991011,2.4351720639970155e-8,-1.074379971544379 
 01/01  04:00:00,2358916.744664598,9.147242963081226e-8,-1.0674019973064848 
 01/01  05:00:00,2373496.1884246619,9.126779332291335e-8,-1.0636369930443193 
 01/01  06:00:00,2393341.0421244159,6.978098099352792e-8,-1.0629638114695446 
 01/01  07:00:00,2408164.0344510006,7.827338777133264e-8,-1.0643649835482166 
 01/01  08:00:00,0.0,0.0,-1.6883927018833665 
 01/01  09:00:00,0.0,0.0,-2.081012051550346 
 01/01  10:00:00,0.0,0.0,-2.119024382102698 
 01/01  11:00:00,0.0,0.0,-2.1262699626612679 
 01/01  12:00:00,0.0,0.0,-2.1227938146314666 
 01/01  13:00:00,0.0,0.0,-2.106717127823147 
 01/01  14:00:00,0.0,0.0,-2.072791924803021 
 01/01  15:00:00,0.0,0.0,-2.0289547955812154 
 01/01  16:00:00,0.0,0.0,-1.971639115570016 
 01/01  17:00:00,0.0,0.0,-1.9049627280176456 
 01/01  18:00:00,0.0,0.0,-1.846005118722085 
 01/01  19:00:00,0.0,0.0,-1.7984171573154038 
 01/01  20:00:00,0.0,0.0,-1.7706530722076995 
 01/01  21:00:00,0.0,0.0,-1.810872966984201 
 01/01  22:00:00,3087611.1263689484,6.314053280220833e-8,-1.2870455388803047 
 01/01  23:00:00,2350451.4138096489,5.821902959723957e-8,-1.1018899657820685 
 01/01  24:00:00,2243825.3302440748,4.3587533582467589e-8,-1.0969204758575764 
 01/02  01:00:00,2431656.386071091,8.291692665807204e-8,-1.093840688632986 
 01/02  02:00:00,2426077.483959956,6.57905729894992e-8,-1.0919392293930177 
 01/02  03:00:00,2426046.8539958,1.0682015272323042e-7,-1.0902940076109565 
 01/02  04:00:00,2418354.4319891228,3.079776433878578e-8,-1.0864454155534143 
 01/02  05:00:00,2403524.4382662095,1.0323901733499952e-7,-1.0818951330962106 
