Date/Time,THERMAL ZONE: SPACE 201:Zone Air Temperature [C](Hourly),THERMAL ZONE: SPACE 201 PEOPLE:Zone Thermal Comfort Fanger Model PMV [](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Heating Energy [J](Hourly),THERMAL ZONE: SPACE 305 PTHP:Zone Packaged Terminal Heat Pump Total Cooling Energy [J](Hourly) 
 01/21  01:00:00,18.000065871111905,-6.493806139278889,4653959.836195207,0.0 
 01/21  02:00:00,18.00004979601447,-6.497719143138863,4673051.551131947,0.0 
 01/21  03:00:00,18.000035765307286,-6.500980817482383,4692914.301217027,0.0 
 01/21  04:00:00,18.00003032118065,-6.50383904665629,4710755.594448772,0.0 
 01/21  05:00:00,18.000023906718675,-6.506553167103811,4731078.459631362,0.0 
 01/21  06:00:00,17.999995935879526,-6.5088017124857269,4761553.141853219,0.0 
 01/21  07:00:00,17.9999275761363,-5.677417102846872,4800792.909618799,0.0 
 01/21  08:00:00,17.999833583136114,-5.674519235739182,5187408.197868356,0.0 
 01/21  09:00:00,18.000098909810153,-5.31936777790812,6312602.310551348,0.0 
 01/21  10:00:00,18.000705613784218,-5.3005444427158,7306893.19463416,0.0 
 01/21  11:00:00,18.000899606682319,-5.288652743021127,7023689.805872636,0.0 
 01/21  12:00:00,18.000926673786556,-5.280900454248157,6837307.5745182749,0.0 
 01/21  13:00:00,18.000840821693094,-5.276667909398106,6368499.554898361,0.0 
 01/21  14:00:00,18.00081697679252,-5.2730552243770358,6295281.112545303,0.0 
 01/21  15:00:00,18.000962290274229,-5.268418698963143,6558161.168292522,0.0 
 01/21  16:00:00,18.001089473590203,-5.266588487399062,6545407.373461315,0.0 
 01/21  17:00:00,18.001147933393214,-5.267865414076682,6602518.788413138,0.0 
 01/21  18:00:00,18.001194448359987,-5.270230535121635,6689303.408115022,0.0 
 01/21  19:00:00,18.000683012771689,-5.615430583138651,5224181.987580737,0.0 
 01/21  20:00:00,18.00035924894144,-5.631006658375554,5400457.920375157,0.0 
 01/21  21:00:00,18.000188902790869,-5.641326756706447,4571009.114707371,0.0 
 01/21  22:00:00,18.000115283836079,-5.649347968135505,4614718.901434724,0.0 
 01/21  23:00:00,18.00008768095444,-5.654999347700411,4635378.270048815,0.0 
 01/21  24:00:00,18.000075256597666,-5.659591620130658,4648968.107067287,0.0 
 07/21  01:00:00,25.9997600785492,-3.1530240342793225,0.0,881602.9374080367 
 07/21  02:00:00,25.999831312360088,-3.1632594645136264,0.0,849159.4593604696 
 07/21  03:00:00,25.99988017046856,-3.1711932656751276,0.0,822029.2144426766 
 07/21  04:00:00,25.999910732855765,-3.177654104043238,0.0,798655.3226289256 
 07/21  05:00:00,25.999932212437746,-3.183239328043689,0.0,776438.9540928361 
 07/21  06:00:00,25.99996131910417,-3.188089219794893,0.0,751079.5949610075 
 07/21  07:00:00,25.999996641040967,-3.891340521134904,0.0,720960.0430150863 
 07/21  08:00:00,25.999681526274686,-3.868384237681496,0.0,1125955.9323364646 
 07/21  09:00:00,25.996906911371498,-3.8102652963937517,0.0,3788210.625388142 
 07/21  10:00:00,26.580787972282129,-3.659869734979598,0.0,6871448.104042802 
 07/21  11:00:00,26.98404098728537,-3.546881132085684,0.0,6974498.295106087 
 07/21  12:00:00,27.28537499000103,-3.4769222389470149,0.0,6915042.508208341 
 07/21  13:00:00,26.96315370553076,-3.5137057748309616,0.0,6570187.065102004 
 07/21  14:00:00,27.018865285395795,-3.5202114357348734,0.0,6331127.907358867 
 07/21  15:00:00,27.628055812849607,-3.4101820237508337,0.0,6661795.85472517 
 07/21  16:00:00,27.674429247758586,-3.364679277055768,0.0,6921789.335264046 
 07/21  17:00:00,27.551656718293385,-3.380288658949181,0.0,7015040.784511112 
 07/21  18:00:00,27.377137244757408,-3.407224526535924,0.0,7110110.936435117 
 07/21  19:00:00,26.047452366486046,-3.5810796090272265,0.0,4161187.888809855 
 07/21  20:00:00,25.997019743013757,-3.691243028647881,0.0,3391586.3170958438 
 07/21  21:00:00,25.998584371914743,-3.7253431130862117,0.0,1362199.7740275516 
 07/21  22:00:00,25.99917289035152,-3.7774247973720427,0.0,1134477.867155545 
 07/21  23:00:00,25.999475973448964,-3.8087588813288066,0.0,1019799.5240654331 
 07/21  24:00:00,25.999660646445038,-3.8292900105743858,0.0,949762.215241832 
 01/01  01:00:00,18.000205311776815,-6.12114005577578,1670067.912379318,0.0 
 01/01  02:00:00,18.000078332438386,-6.124309945183701,1697704.7992603686,0.0 
 01/01  03:00:00,18.000054475219828,-6.125832375540313,1702835.06048866,0.0 
 01/01  04:00:00,18.000073940256646,-6.127546525767751,1702892.7934354165,0.0 
 01/01  05:00:00,18.000128740467465,-6.130635985318411,1698792.6453796703,0.0 
 01/01  06:00:00,18.000165303229143,-6.137419464733192,1639998.4825172236,0.0 
 01/01  07:00:00,18.00012401220101,-6.543874989142378,1686430.6786115787,0.0 
 01/01  08:00:00,18.000079598112408,-6.552887711809848,1748270.9073511987,0.0 
 01/01  09:00:00,18.000039803735203,-6.058073725301548,1808677.1900542346,0.0 
 01/01  10:00:00,18.00000874973237,-6.060768733076255,1873271.3154704094,0.0 
 01/01  11:00:00,18.000005547272797,-6.0615711735254689,1916759.1095744237,0.0 
 01/01  12:00:00,18.000002290629376,-6.062127532576292,1939231.3296126845,0.0 
 01/01  13:00:00,18.0000006849454,-6.062802017512156,1982120.2334761169,0.0 
 01/01  14:00:00,18.000000567728315,-6.0614939051270169,2022427.517640128,0.0 
 01/01  15:00:00,18.000000457861078,-6.057882414138292,2047071.4982134349,0.0 
 01/01  16:00:00,18.000000357218867,-6.051820637826278,2058293.6527551769,0.0 
 01/01  17:00:00,18.000000279503124,-6.043225657659764,2053542.9670736269,0.0 
 01/01  18:00:00,18.000000231213887,-6.0325072048175178,2026937.7791951569,0.0 
 01/01  19:00:00,18.000000205517176,-6.5150835330975929,1976219.5688579335,0.0 
 01/01  20:00:00,18.000000209750433,-6.5026053194691368,1885513.9264778547,0.0 
 01/01  21:00:00,18.000055562828046,-6.495694532401449,1771504.107169561,0.0 
 01/01  22:00:00,18.00029146172731,-6.496177006103495,1685061.0706260636,0.0 
 01/01  23:00:00,18.000384897983733,-6.501829348241429,1645287.2786941124,0.0 
 01/01  24:00:00,18.000375306792099,-6.509445789190804,1634798.1235980429,0.0 
 01/02  01:00:00,18.000341007995205,-6.516562395117133,1634518.5233362416,0.0 
 01/02  02:00:00,18.00027799253697,-6.52365923791536,1648292.6106432686,0.0 
 01/02  03:00:00,18.000200555644196,-6.53005495367752,1671421.478029525,0.0 
 01/02  04:00:00,18.00014080742564,-6.5350018940459659,1694400.9208784193,0.0 
 01/02  05:00:00,18.000101176833359,-6.5389793628721419,1717437.2453150799,0.0 
 01/02  06:00:00,18.00007505671387,-6.542413742932115,1742361.047446569,0.0 
 01/02  07:00:00,18.000064635046397,-6.6460241652669949,1767186.1728042225,0.0 
 01/02  08:00:00,18.00004978520217,-6.6492089669166669,1797374.6540566334,0.0 
 01/02  09:00:00,18.000004355179333,-6.134018875213703,1848051.9835504119,0.0 
 01/02  10:00:00,18.000000544978549,-6.1340731507132839,1902991.0837369774,0.0 
 01/02  11:00:00,18.00000048493273,-6.132550229792343,1928283.5406030284,0.0 
 01/02  12:00:00,18.00000044167008,-6.131435245714961,1948275.1302635079,0.0 
 01/02  13:00:00,18.000000407421405,-6.130434729599461,1966322.8186735549,0.0 
 01/02  14:00:00,18.00000036954361,-6.129260234014378,1980316.3757994408,0.0 
 01/02  15:00:00,18.000000321122415,-6.1269657939627939,1995958.934790899,0.0 
 01/02  16:00:00,18.000000276694768,-6.122367898343995,1998818.183242632,0.0 
 01/02  17:00:00,18.00000026334276,-6.115976612496721,1951609.6802431192,0.0 
